service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
105 SIL,0,0,0,0,0,0,0,20230417,20261231
1056 SA,0,0,0,0,0,0,0,20230417,20261231
1056 SA bis 13.09.25[2025-7-26],0,0,0,0,0,0,0,20230417,20261231
1056 SA[2025-9-20],0,0,0,0,0,0,0,20230417,20261231
106 HA,0,0,0,0,0,0,0,20230417,20261231
106 SA,0,0,0,0,0,0,0,20230417,20261231
106 SIL,0,0,0,0,0,0,0,20230417,20261231
108 HA,0,0,0,0,0,0,0,20230417,20261231
108 SA,0,0,0,0,0,0,0,20230417,20261231
108 SIL,0,0,0,0,0,0,0,20230417,20261231
1101 HA,0,0,0,0,0,0,0,20230417,20261231
1101 SA,0,0,0,0,0,0,0,20230417,20261231
1101 SIL,0,0,0,0,0,0,0,20230417,20261231
1101 SO,0,0,0,0,0,0,0,20230417,20261231
1102 HA,0,0,0,0,0,0,0,20230417,20261231
1102 SA,0,0,0,0,0,0,0,20230417,20261231
1102 SIL,0,0,0,0,0,0,0,20230417,20261231
1102 SO,0,0,0,0,0,0,0,20230417,20261231
1103 HA,0,0,0,0,0,0,0,20230417,20261231
1103 SA,0,0,0,0,0,0,0,20230417,20261231
1103 SIL,0,0,0,0,0,0,0,20230417,20261231
1104 HA,0,0,0,0,0,0,0,20230417,20261231
