;Nummer;K¸rzel;Langname;Kurzname;Online-Info Haltestelle;Externe Online-Info Haltestelle;Anz. Pos.;Ansage-Nr.;Linien-Darst.;Funkgest¸tzt;÷ffne Verweis;X-Koord;Y-Koord;Globale Haltestellen-Kennung
227;13022;LIEB;Liebigstraﬂe;Liebigstraﬂe;;;3;103;X;;;0;0;de:09362:13022
228;602;LIEP;Lieperkingstraﬂe;Lieperkingstraﬂe;;;2;104;X;;;0;0;de:09362:602
229;15017;LILI;Lilienthalstraﬂe;Lilienthalstraﬂe;X;;4;105;X;;;0;0;de:09362:15017
230;12041;LOIS;Loisachstraﬂe;Loisachstraﬂe;X;;2;106;X;;;0;0;de:09362:12041
231;15018;MARG;Margaretenau/KH Barmh. Br¸der;Margaretenau/KH Barmh. Br¸der;;;2;326;X;;;0;0;de:09362:15018
232;14050;MARK;Markomannenstraﬂe;Markomannenstraﬂe;;;4;431;X;;;0;0;de:09362:14050
233;14010;MAYE;Franz-Mayer-Straﬂe;Franz-Mayer-Straﬂe;;;2;575;X;;;0;0;de:09362:14010
234;80;MBGE;Haus der Bayerischen Geschichte;Haus der Bayerischen Geschichte;;;2;527;X;;;0;0;de:09362:80
235;12042;MECK;Mecklenburger Straﬂe;Mecklenburger Straﬂe;;;1;110;X;;;0;0;de:09362:12042
236;12056;MEME;Memeler Straﬂe;Memeler Straﬂe;X;;2;157;X;;;0;0;de:09362:12056
237;11046;MOBI;Mobilit‰tsdrehscheibe Unterer Wˆhrd;Mobilit‰tsdrehscheibe Unterer Wˆhrd;;;1;607;X;;;0;0;de:09362:11046
238;12008;MUEH;M¸lhausener Straﬂe;M¸lhausener Straﬂe;;;2;582;X;;;0;0;de:09362:12008
239;14064;MUEL;Von-M¸ller-Gymnasium;Von-M¸ller-Gymnasium;;;4;320;X;;;0;0;de:09362:14064
240;65;NAAB;Naabstraﬂe;Naabstraﬂe;;;2;423;X;;;0;0;de:09362:65
241;12029;NABB;Nabburger Straﬂe;Nabburger Straﬂe;;;4;386;X;;;0;0;de:09362:12029
242;10284;NAPO;Schule Napoleonstein;Schule Napoleonstein;;;1;43;X;;;0;0;de:09362:10284
243;13042;Neudeck;Neudecker Straﬂe;Neudecker Straﬂe;;;2;0;X;X;;0;0;de:09375:13042
244;16033;NEUK;Neukareth;Neukareth;;;1;224;X;;;0;0;de:09375:16033
245;14063;NEUP;Neupr¸ll;Neupr¸ll;;;4;115;X;;;0;0;de:09362:14063
246;16005;NEUR;N¸rnberger Straﬂe;N¸rnberger Straﬂe;;;2;372;X;;;0;0;de:09362:16005
247;14065;NIBE;Nibelungenstraﬂe;Nibelungenstraﬂe;;;4;116;X;;;0;0;de:09362:14065
248;16003;NIED;Niederwinzer;Niederwinzer;;;2;117;X;;;0;0;de:09362:16003
249;12028;NIKO;Schule St. Nikola;Schule St. Nikola;;;4;144;X;;;0;0;de:09362:12028
250;12039;NORD;Nordgaustraﬂe;Nordgaustraﬂe;;;4;387;X;;;0;0;de:09362:12039
251;11140;NPLZ;Neupfarrplatz;Neupfarrplatz;;;1;114;X;;;0;0;de:09362:11140
252;1316;NTAU;Neutraubling Aussiger Straﬂe;Neutraubling Aussiger Straﬂe;;;2;546;X;;;0;0;de:09375:316
253;1318;NTBO;Neutraubling Borsigstraﬂe;Neutraubling Borsigstraﬂe;;;1;547;X;;;0;0;de:09375:318
254;315;NTBR;Neutraubling Am Braunfeld;Neutraubling Am Braunfeld;;;2;261;X;;;0;0;de:09375:315
255;1695;NTDE;Neutraubling Dresdener Straﬂe;Neutraubling Dresdener Straﬂe;;;1;548;X;;;0;0;de:09375:695
256;320;NTFH;Neutraubling Friedhof;Neutraubling Friedhof;;;2;254;X;;;0;0;de:09375:320
257;13017;NTFR;Neutraubling Friedhofweg;Neutraubling Friedhofweg;;;1;429;X;;;0;0;de:09375:13017
258;1323;NTGA;Neutraubling G‰rtnersiedlung;Neutraubling G‰rtnersiedlung;;;1;550;X;;;0;0;de:09375:323
259;13043;NTHA;Neutraubling Haidauer Straﬂe;Neutraubling Haidauer Straﬂe;;;2;255;X;;;0;0;de:09375:13043
260;13052;NTHT;Neutraubling Hartinger Straﬂe;Neutraubling Hartinger Straﬂe;;;2;258;X;;;0;0;de:09375:13052
261;13060;NTKE;Neutraubling Keplerstraﬂe;Neutraubling Keplerstraﬂe;;;2;259;X;;;0;0;de:09375:13060
262;1696;NTMA;Neutraubling Marktplatz;Neutraubling Marktplatz;;;1;552;X;;;0;0;de:09375:696
263;13044;NTPO;Neutraubling Pommernstraﬂe;Neutraubling Pommernstraﬂe;X;X;2;260;X;;;0;0;de:09375:13044
264;1992;NTPS;Neutraubling Podersamerstraﬂe;Neutraubling Podersamerstraﬂe;;;1;553;X;;;0;0;de:09375:992
265;13041;NTRA;Neutraubling Rathaus;Neutraubling Rathaus;;;2;554;X;;;0;0;de:09375:13041
266;1092;NTWE;Neutraubling Am Weiheracker;Neutraubling Am Weiheracker;;;2;428;X;;;0;0;de:09375:1092
267;1986;NTZW;Neutraubling Zwickauer Straﬂe;Neutraubling Zwickauer Straﬂe;;;2;529;X;;;0;0;de:09375:986
268;15021;OBER;Obermaierstraﬂe;Obermaierstraﬂe;;;2;123;X;;;0;0;de:09362:15021
269;13023;OBHF;Am Ostbahnhof;Am Ostbahnhof;;;2;6;X;;;0;0;de:09362:13023
270;14067;OISL;Oberisling;Oberisling;;;2;121;X;;;0;0;de:09362:14067
